"x","y","look_at","v","angular_v"
6.95329e-310,4.98152e-310,0,0,0
0.756005,-0.828381,45.8421,100,50
-0.0893622,-0.263615,46.7882,100,50
-1.42851,-0.0182818,47.6413,100,50
-2.24944,-0.363086,48.5074,100,50
-2.0101,-0.875134,49.3878,100,50
-0.917963,-1.41004,50.283,100,50
0.318595,-1.4318,51.1807,100,50
0.670684,-0.886857,51.986,100,50
-0.0421319,-0.495647,52.9388,100,50
-1.38318,-0.173949,53.7582,100,50
-2.36643,-0.455814,54.7217,100,50
-2.22495,-0.968888,55.5166,100,50
-1.12813,-1.43081,56.4461,100,50
0.176966,-1.48695,57.2159,100,50
0.827275,-0.972001,58.1203,100,50
0.387086,-0.343943,58.9242,100,50
-0.80672,-0.132801,59.7698,100,50
-1.97822,-0.30099,60.4752,100,50
-2.56045,-0.839886,61.277,100,50
-2.05459,-1.37187,62.1509,100,50
-0.756514,-1.63547,62.945,100,50
0.434177,-1.42481,63.7533,100,50
0.768911,-0.865435,64.6222,100,50
-0.0285565,-0.358929,65.4676,100,50
-1.39462,-0.175945,66.319,100,50
-2.43233,-0.470494,67.1536,100,50
-2.47425,-1.04531,68.057,100,50
-1.49425,-1.56186,68.8428,100,50
-0.120451,-1.61662,69.6872,100,50
0.737049,-1.21936,70.545,100,50
0.388114,-0.598835,71.5165,100,50
-0.925164,-0.0844073,72.3342,100,50
-2.15091,-0.372967,73.1665,100,50
-2.54081,-0.914708,73.9959,100,50
-1.87415,-1.43103,74.8787,100,50
-0.528867,-1.70658,75.6943,100,50
0.508786,-1.33177,76.5616,100,50
0.524372,-0.77235,77.3883,100,50
-0.41204,-0.455511,78.2369,100,50
-1.81734,-0.376709,78.9223,100,50
-2.79873,-0.833725,79.9092,100,50
-2.59882,-1.41977,80.7466,100,50
-1.5155,-1.93311,81.6273,100,50
-0.29142,-1.93554,82.5315,100,50
0.101666,-1.43829,83.4293,100,50
-0.617461,-0.993626,84.4069,100,50
-1.93076,-0.65847,85.3471,100,50
-2.72499,-0.885392,86.3269,100,50
-2.27799,-1.41493,87.2793,100,50
-1.10473,-1.915,88.1563,100,50
