"x","y","orientation","v","w"
0,0,0,100,0
0.0237538,2.27163e-05,,,
0.0225279,1.29759e-05,,,
0.0224099,1.60965e-05,,,
0.0240905,1.38647e-05,,,
0.0242567,2.49133e-05,,,
0.0237699,1.85723e-05,,,
0.0232416,2.05433e-06,,,
0.0225678,2.64659e-05,,,
0.0244127,2.68915e-05,,,
0.0242698,2.5684e-05,,,
0.0243529,3.46342e-05,,,
0.0235598,2.35357e-05,,,
0.0243328,2.90594e-05,,,
0.0237726,6.13528e-06,,,
0.0239128,2.59765e-05,,,
0.0228291,1.03195e-05,,,
0.0244385,2.14519e-05,,,
0.0245707,3.26726e-05,,,
0.0225369,2.58709e-06,,,
0.0219063,2.31614e-05,,,
0.0229965,3.07983e-05,,,
0.0240875,3.20461e-05,,,
0.0246591,2.82083e-05,,,
0.024025,1.38875e-05,,,
0.0225792,2.16561e-05,,,
0.0225379,4.20079e-06,,,
0.023229,2.7159e-05,,,
0.0240771,2.6471e-05,,,
0.0236091,2.7902e-05,,,
0.0236241,2.60195e-05,,,
0.0231952,3.59264e-07,,,
0.0243038,3.07352e-05,,,
0.0235591,2.33233e-05,,,
0.0220413,1.44442e-05,,,
0.0236118,1.68966e-05,,,
0.0241263,1.80535e-05,,,
0.02215,1.71909e-05,,,
0.0241769,1.7444e-05,,,
0.0243789,3.37567e-05,,,
0.0245982,7.58902e-06,,,
0.0241925,3.20292e-05,,,
0.0244046,2.78691e-05,,,
0.0229026,3.24177e-05,,,
0.0233237,2.60265e-05,,,
0.0232728,1.79438e-05,,,
0.0216578,2.71423e-05,,,
0.0239339,1.74216e-05,,,
0.0243131,2.53725e-05,,,
0.0246737,3.36064e-05,,,
0.0242596,1.62679e-05,,,
0.0223052,2.99582e-05,,,
0.0227638,2.10066e-05,,,
0.0239481,9.10327e-06,,,
0.0225037,9.1022e-06,,,
0.0238487,2.80443e-05,,,
0.0244011,3.39591e-05,,,
0.024426,3.5177e-05,,,
0.0235085,2.31389e-05,,,
0.0242826,1.17732e-05,,,
0.023977,1.98005e-05,,,
0.024534,1.40944e-05,,,
0.0244529,3.3027e-05,,,
0.0229592,2.34473e-05,,,
0.0243356,1.46307e-05,,,
0.021935,2.81728e-05,,,
0.0246921,1.57751e-05,,,
0.0221594,1.09618e-05,,,
0.0235761,2.94208e-05,,,
0.0234299,2.93712e-05,,,
0.0244498,1.49555e-05,,,
0.0239947,2.05938e-05,,,
0.0240083,1.54618e-05,,,
0.0246568,1.21382e-05,,,
0.0242806,3.41737e-05,,,
0.0243835,3.42863e-05,,,
0.023289,2.42408e-05,,,
0.0243846,3.11462e-05,,,
0.0225103,2.40085e-05,,,
0.0228147,2.49028e-05,,,
0.0232716,1.47932e-07,,,
0.0228708,1.47759e-05,,,
0.0236141,9.32537e-06,,,
0.0230966,1.85142e-05,,,
0.0225385,1.46192e-05,,,
0.0226342,2.85294e-05,,,
0.0243028,1.94821e-05,,,
0.0223302,8.7136e-06,,,
0.0239238,2.80015e-05,,,
0.0229428,1.73238e-05,,,
0.0231052,2.35686e-05,,,
0.0231318,1.64754e-05,,,
0.0239128,7.327e-06,,,
